contrast,left,right,noise_type,severity,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,standardized_reconstruction_mse_increase,0.0005313950875340676,0.0010772844134677218,-0.00027276086009278485,0.0014247432549145764
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,accuracy,0.10407999999999999,0.064515943765863,0.05344000000000003,0.1526
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,macro_f1,0.10243653526112728,0.05763892794914328,0.05793426345833397,0.1469388070639206
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,classification_ce,-0.7084450960159302,0.5681277641863437,-1.1458274841308593,-0.2814407110214233
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,system_reconstruction_mse,-0.01899704032820098,0.003578815589270816,-0.021931212658784824,-0.016302319091485475
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,standardized_reconstruction_mse,-0.015463122108615173,0.001990692966755219,-0.016858568771518003,-0.0137885736699007
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,representation_cosine,-0.06721707582473754,0.005422935958547792,-0.07154290676116944,-0.06342021226882935
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,prediction_js_divergence,-0.05741227269172668,0.047737983421898396,-0.09427877962589264,-0.02054576575756073
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,accuracy_absolute_degradation,-0.07832000000000003,0.07253307521400149,-0.13336,-0.023280000000000033
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,accuracy_relative_degradation,-0.09786546070122613,0.07678497594900612,-0.1557784590126952,-0.03947057537510096
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,macro_f1_absolute_degradation,-0.07654818349973781,0.06574498287876067,-0.12760445221984443,-0.025491914779631197
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,system_reconstruction_mse_increase,-0.00514406540549531,0.0042469669278321995,-0.008900358471578478,-0.002438125578724605
HHB_minus_HHH,HHB,HHH,salt_pepper,0.2,standardized_reconstruction_mse_increase,-0.0013428341388702371,0.0022345252867764735,-0.0032613967907185433,0.00019794313127167738
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,accuracy,0.08694,0.09132547837268634,0.01682,0.15724000000000005
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,macro_f1,0.08883840497940548,0.08605592123486316,0.02291737690439736,0.15631770580494578
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,classification_ce,-1.1322961330413819,1.066989695931312,-2.0005725383758546,-0.32526535987854005
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,system_reconstruction_mse,-0.022125930368851642,0.005793537017475407,-0.027349770173053352,-0.018483807763858717
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,standardized_reconstruction_mse,-0.015859699632294322,0.003948147744890116,-0.018908652661381937,-0.012810746603206713
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,representation_cosine,-0.09559469223022461,0.007067979618049473,-0.10180777311325073,-0.09118586778640747
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,prediction_js_divergence,-0.05471212863922119,0.06912580282270889,-0.10761726498603821,-0.0018069922924041748
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,accuracy_absolute_degradation,-0.061180000000000026,0.10023550768066178,-0.13882000000000003,0.01646000000000001
HHB_minus_HHH,HHB,HHH,salt_pepper,0.3,accuracy_relative_degradation,-0.08277598511903303,0.10543462633019483,-0.16396389913774886,-0.001588071100317201
