sweep,method,metric,baseline_case,baseline_value,minimum,maximum,sensitivity,layer,noise_type,rule
dimension,BBB,knn_cv_accuracy,L64,0.8427999999999999,0.8364,0.8439,0.008898908400558915,h1,,
dimension,BBB,between_within_scatter_ratio,L64,0.11004322856452134,0.10990228503563984,0.1120159639046006,0.019207714063952996,h1,,
dimension,BBB,silhouette_score,L64,-0.028580419717087226,-0.02884153058037866,-0.024995282638790833,0.13457632811297426,h1,,
dimension,BBB,effective_rank,L64,4.30995940156323,3.945244656664406,6.440885540883795,0.579040462263667,h2,,
dimension,BBB,stable_rank,L64,2.253398276366468,2.1165054810017674,3.192318883084742,0.47741822356286323,h2,,
dimension,BBB,winner_coverage_ratio,L64,1.0,1.0,1.0,0.0,h2,,
dimension,BBB,winner_entropy,L64,0.941798478730635,0.9342092826429033,0.9491215635594055,0.015833834151638564,h2,,
dimension,BBB,max_winner_share,L64,0.08038516938848046,0.0689731934077857,0.10180595300503345,0.4084429982123591,h2,,
dimension,BBB,linear_probe_cv_accuracy,L64,0.9190000000000002,0.9099,0.9345000000000001,0.026768226332941562,h2,,
dimension,BBB,knn_cv_accuracy,L64,0.8748000000000001,0.865,0.8839,0.02160493827158027,h2,,
dimension,BBB,between_within_scatter_ratio,L64,0.12101574330868219,0.11581337289167468,0.1387017011876944,0.18913512961241696,h2,,
dimension,BBB,silhouette_score,L64,-0.016027557329648136,-0.022325497081734036,0.009559713015901937,1.989399222841312,h2,,
dimension,BBB,effective_rank,L64,20.268654129908928,7.078434934731213,28.36242563335612,1.0500939313586035,z,,
dimension,BBB,stable_rank,L64,7.11449822093279,3.755379281152846,8.706292201127216,0.6958906680736444,z,,
dimension,BBB,winner_coverage_ratio,L64,0.85,0.7,0.85,0.17647058823508655,z,,
dimension,BBB,winner_entropy,L64,0.8938356231243503,0.750827516404893,0.8975761510054301,0.16417854782674876,z,,
dimension,BBB,max_winner_share,L64,0.06735714285714287,0.03659230769230769,0.2350997740396686,2.9470885777537577,z,,
dimension,BBB,linear_probe_cv_accuracy,L64,0.8605,0.843,0.8964000000000001,0.062056943637348115,z,,
dimension,BBB,knn_cv_accuracy,L64,0.9241999999999999,0.8882,0.9381,0.0539926422851613,z,,
dimension,BBB,between_within_scatter_ratio,L64,0.1097315847650618,0.1097315847650618,0.4610770400130453,3.201862581288892,z,,
dimension,BBB,silhouette_score,L64,-0.02641349345245143,-0.026499329300135255,0.08879098429823948,4.36482640213992,z,,
dimension,HBB,effective_rank,L64,1.3607151779211093,1.3607151779211093,1.3607151779211093,0.0,h1,,
dimension,HBB,stable_rank,L64,1.1726882926573663,1.1726882926573663,1.1726882926573663,0.0,h1,,
dimension,HBB,winner_coverage_ratio,L64,0.9,0.9,0.9,0.0,h1,,
dimension,HBB,winner_entropy,L64,0.6196834921396143,0.6196834921396143,0.6196834921396143,0.0,h1,,
dimension,HBB,max_winner_share,L64,0.34213377109503873,0.34213377109503873,0.34213377109503873,0.0,h1,,
dimension,HBB,linear_probe_cv_accuracy,L64,0.8919,0.8919,0.8919,0.0,h1,,
dimension,HBB,knn_cv_accuracy,L64,0.807,0.807,0.807,0.0,h1,,
dimension,HBB,between_within_scatter_ratio,L64,0.1087670037049759,0.1087670037049759,0.1087670037049759,0.0,h1,,
dimension,HBB,silhouette_score,L64,-0.032309748389203544,-0.032309748389203544,-0.032309748389203544,0.0,h1,,
dimension,HBB,effective_rank,L64,4.170892713952386,4.002512143864978,6.312779896957877,0.5539024644206464,h2,,
dimension,HBB,stable_rank,L64,2.2165277120756777,2.1436269909145125,3.2127909985510272,0.4823598648513213,h2,,
dimension,HBB,winner_coverage_ratio,L64,1.0,1.0,1.0,0.0,h2,,
dimension,HBB,winner_entropy,L64,0.9434841335084247,0.9318869215069382,0.9531044116639423,0.02248844405902475,h2,,
dimension,HBB,max_winner_share,L64,0.08360177338795668,0.07072506874684326,0.10022984581791675,0.35292046896903384,h2,,
dimension,HBB,linear_probe_cv_accuracy,L64,0.9138,0.9055,0.9303000000000001,0.02713941781568507,h2,,
dimension,HBB,knn_cv_accuracy,L64,0.8763,0.867,0.8834,0.01871505192283608,h2,,
dimension,HBB,between_within_scatter_ratio,L64,0.11942287554109395,0.11443797578162992,0.13628323025591954,0.1829235343323285,h2,,
dimension,HBB,silhouette_score,L64,-0.018165186745625457,-0.025074325419273336,0.005919624358740033,1.7062279738891817,h2,,
dimension,HBB,effective_rank,L64,19.449515534707405,7.208321514842919,26.238961847326415,0.9784634634483615,z,,
