sweep,case,contrast,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
architecture,balanced,BBB_minus_HHB,total_training_wall_time_sec,-275.6536164399962,91.68592883209293,-351.02596105997037,-204.66484214000047
architecture,late_heavy,HHB_minus_HHH,accuracy,-0.04254000000000002,0.28913388421283315,-0.2991800000000001,0.11598
architecture,late_heavy,HHB_minus_HHH,macro_f1,-0.0572721727554081,0.326162557140496,-0.3475544436764414,0.11860064988271415
architecture,late_heavy,HHB_minus_HHH,classification_ce,0.06239435076713562,0.7471402703428476,-0.36480081677436826,0.7259438097476959
architecture,late_heavy,HHB_minus_HHH,system_reconstruction_mse,-0.0044706451484135224,0.024623405966099732,-0.019538104498726984,0.017551722493074375
architecture,late_heavy,HHB_minus_HHH,standardized_reconstruction_mse,-0.004739126389367239,0.0243299501970505,-0.019685966734010345,0.016976459285969636
architecture,late_heavy,HHB_minus_HHH,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,late_heavy,HHB_minus_HHH,system_training_wall_time_sec,-100.0290787800448,98.47648937857626,-185.92022770005278,-41.38730018006172
architecture,late_heavy,HHB_minus_HHH,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
architecture,late_heavy,HHB_minus_HHH,standardized_decoder_wall_time_sec,17.349447560007683,49.95601059325748,-15.274961499962956,60.36428043995984
architecture,late_heavy,HHB_minus_HHH,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,late_heavy,HHB_minus_HHH,total_training_wall_time_sec,-82.67963122003712,59.41677957594065,-129.47244304008782,-38.808769119996576
architecture,late_heavy,HBB_minus_HHB,accuracy,0.10193999999999996,0.21989216220684174,-0.001460000000000039,0.2994799999999999
architecture,late_heavy,HBB_minus_HHB,macro_f1,0.11794478718149015,0.2556283913523822,-0.00146831459532748,0.34750301070701295
architecture,late_heavy,HBB_minus_HHB,classification_ce,-0.25477073192596433,0.5406604010192044,-0.7409437358379364,0.0023650705814361574
architecture,late_heavy,HBB_minus_HHB,system_reconstruction_mse,-0.007814789610687567,0.012175009857779586,-0.018758632645898936,-0.00184674599044177
architecture,late_heavy,HBB_minus_HHB,standardized_reconstruction_mse,-0.007497846875385362,0.01207124683783614,-0.018418361421604544,-0.0015892359389091024
architecture,late_heavy,HBB_minus_HHB,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,late_heavy,HBB_minus_HHB,system_training_wall_time_sec,-70.17619213995059,20.686325619005785,-86.54472751996946,-53.8076567599317
architecture,late_heavy,HBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
architecture,late_heavy,HBB_minus_HHB,standardized_decoder_wall_time_sec,-23.39646773999557,53.98845472643888,-69.66214027998504,16.053253660001793
architecture,late_heavy,HBB_minus_HHB,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,late_heavy,HBB_minus_HHB,total_training_wall_time_sec,-93.57265987994614,48.796287672233476,-130.07962089991196,-57.218522739969195
architecture,late_heavy,BBB_minus_HHB,accuracy,0.06555999999999998,0.13501930602695303,9.999999999998899e-05,0.18737999999999996
architecture,late_heavy,BBB_minus_HHB,macro_f1,0.07876865409564472,0.16425183379314975,0.00018706847509131208,0.22682991641505829
