case,seed,method,layer,representation_layer,rule,alignment,update_snr_linear,winner_entropy,winner_coverage_ratio,effective_rank,linear_probe_cv_accuracy
early_heavy,2,HHH,enc3,z,hebbian_effective,0.0005724526900778418,6.7061095691800805,0.4678924870096007,0.109375,1.0185221635629387,0.8550000000000001
early_heavy,2,BBB,enc1,h1,bp_raw,1,61.60392423900976,0.8569821484522531,1,2.686561143384421,0.901
early_heavy,2,BBB,enc2,h2,bp_raw,1,29.28676018359472,0.8913939710600023,1,3.6863188948658134,0.9199999999999999
early_heavy,2,BBB,enc3,z,bp_raw,1,9.509100817699716,0.9075025180772187,0.90625,19.60472372723039,0.8675
early_heavy,2,HHB,enc3,z,bp_raw,1,11.315919640241322,0.851135666462276,0.75,10.244694432737118,0.8859999999999999
early_heavy,2,HBB,enc2,h2,bp_raw,1,6.652771316654181,0.9059111280827709,1,3.7013642630514356,0.9175000000000001
early_heavy,2,HBB,enc3,z,bp_raw,1,9.640676695553813,0.8904465897432615,0.875,18.932833410113496,0.858
early_heavy,3,HHH,enc1,h1,hebbian_raw,0.34233643258356905,504.11430947363124,0.7373998905985094,0.8125,1.4634525415417954,0.8965
early_heavy,3,HHH,enc1,h1,hebbian_effective,0.34240464193553116,501.81535414544464,0.7373998905985094,0.8125,1.4634525415417954,0.8965
early_heavy,3,HHB,enc1,h1,hebbian_raw,0.34233643258356905,504.11430947363124,0.7373998905985094,0.8125,1.4634525415417954,0.8965
early_heavy,3,HHB,enc1,h1,hebbian_effective,0.34240464193553116,501.81535414544464,0.7373998905985094,0.8125,1.4634525415417954,0.8965
early_heavy,3,HBB,enc1,h1,hebbian_raw,0.34233643258356905,504.11430947363124,0.7373998905985094,0.8125,1.4634525415417954,0.8965
early_heavy,3,HBB,enc1,h1,hebbian_effective,0.34240464193553116,501.81535414544464,0.7373998905985094,0.8125,1.4634525415417954,0.8965
early_heavy,3,HHH,enc2,h2,hebbian_raw,0.05495886614651932,0.0264468521642048,0.32969533691986563,0.10714285714285714,1.015145632444445,0.8875
early_heavy,3,HHH,enc2,h2,hebbian_effective,0.05466820525981086,0.02644853492639706,0.32969533691986563,0.10714285714285714,1.015145632444445,0.8875
early_heavy,3,HHB,enc2,h2,hebbian_raw,0.05495886614651932,0.0264468521642048,0.32969533691986563,0.10714285714285714,1.015145632444445,0.8875
early_heavy,3,HHB,enc2,h2,hebbian_effective,0.05466820525981086,0.02644853492639706,0.32969533691986563,0.10714285714285714,1.015145632444445,0.8875
early_heavy,3,HHH,enc3,z,hebbian_raw,-0.0017925792742789852,5.7085999971996895,0.4678924870096007,0.109375,1.0193885466686945,0.8404999999999999
early_heavy,3,HHH,enc3,z,hebbian_effective,-0.00029001174883052847,5.782489108029628,0.4678924870096007,0.109375,1.0193885466686945,0.8404999999999999
early_heavy,3,BBB,enc1,h1,bp_raw,1,20.7644357312945,0.8625781679310636,1,2.9874514152434974,0.909
early_heavy,3,BBB,enc2,h2,bp_raw,1,12.00184946296712,0.938269790648115,1,5.1667364503455335,0.9165000000000001
early_heavy,3,BBB,enc3,z,bp_raw,1,5.332197652900586,0.8662964166447797,0.734375,16.657663353398036,0.867
early_heavy,3,HHB,enc3,z,bp_raw,1,11.40265681850091,0.830381832191243,0.71875,9.797646825661262,0.882
early_heavy,3,HBB,enc2,h2,bp_raw,1,3.8234205883088097,0.9071401083202831,1,4.040518179995707,0.916
early_heavy,3,HBB,enc3,z,bp_raw,1,5.795576631971879,0.8649098765271106,0.734375,15.454822633582006,0.8705
early_heavy,4,HHH,enc1,h1,hebbian_raw,0.22891671068263617,416.3590405205855,0.7559265493217319,0.953125,1.3300622303406853,0.8995
early_heavy,4,HHH,enc1,h1,hebbian_effective,0.2288178349312967,414.3375178179711,0.7559265493217319,0.953125,1.3300622303406853,0.8995
early_heavy,4,HHB,enc1,h1,hebbian_raw,0.22891671068263617,416.3590405205855,0.7559265493217319,0.953125,1.3300622303406853,0.8995
early_heavy,4,HHB,enc1,h1,hebbian_effective,0.2288178349312967,414.3375178179711,0.7559265493217319,0.953125,1.3300622303406853,0.8995
early_heavy,4,HBB,enc1,h1,hebbian_raw,0.22891671068263617,416.3590405205855,0.7559265493217319,0.953125,1.3300622303406853,0.8995
early_heavy,4,HBB,enc1,h1,hebbian_effective,0.2288178349312967,414.3375178179711,0.7559265493217319,0.953125,1.3300622303406853,0.8995
early_heavy,4,HHH,enc2,h2,hebbian_raw,-0.010588132731505035,0.014219117757235873,0.32969533691986563,0.10714285714285714,1.0143116526838183,0.9094999999999999
early_heavy,4,HHH,enc2,h2,hebbian_effective,-0.011109995056406752,0.014216803078691729,0.32969533691986563,0.10714285714285714,1.0143116526838183,0.9094999999999999
early_heavy,4,HHB,enc2,h2,hebbian_raw,-0.010588132731505035,0.014219117757235873,0.32969533691986563,0.10714285714285714,1.0143116526838183,0.9094999999999999
early_heavy,4,HHB,enc2,h2,hebbian_effective,-0.011109995056406752,0.014216803078691729,0.32969533691986563,0.10714285714285714,1.0143116526838183,0.9094999999999999
early_heavy,4,HHH,enc3,z,hebbian_raw,-0.0017540433568518415,27.01776684965985,0.4678924870096007,0.109375,1.0201560254776978,0.8545
early_heavy,4,HHH,enc3,z,hebbian_effective,-0.00045764801036557483,29.522953459565866,0.4678924870096007,0.109375,1.0201560254776978,0.8545
early_heavy,4,BBB,enc1,h1,bp_raw,1,0.9559897290499593,0.8502799601500276,1,2.4793194812945294,0.9035
early_heavy,4,BBB,enc2,h2,bp_raw,1,1.1861502521723588,0.9257372970507998,0.9642857142857143,4.525863988001477,0.9185000000000001
early_heavy,4,BBB,enc3,z,bp_raw,1,4.612263439892976,0.8724424455681394,0.78125,16.201417090025053,0.874
early_heavy,4,HHB,enc3,z,bp_raw,1,8.681802056104463,0.8126874083049253,0.65625,8.315804009842575,0.891
early_heavy,4,HBB,enc2,h2,bp_raw,1,3.165092223550558,0.8852835546053411,1,2.487837678672936,0.9295
early_heavy,4,HBB,enc3,z,bp_raw,1,6.159436699260835,0.7921713605748931,0.515625,12.311166052685532,0.8985
late_heavy,0,HHH,enc1,h1,hebbian_raw,0.6720486839681163,595.4907382374381,0.22932584411150647,1,1.0474936909806385,0.8615
late_heavy,0,HHH,enc1,h1,hebbian_effective,0.6719995161911867,582.8471887318609,0.22932584411150647,1,1.0474936909806385,0.8615
late_heavy,0,HHB,enc1,h1,hebbian_raw,0.6720486839681163,595.4907382374381,0.22932584411150647,1,1.0474936909806385,0.8615
late_heavy,0,HHB,enc1,h1,hebbian_effective,0.6719995161911867,582.8471887318609,0.22932584411150647,1,1.0474936909806385,0.8615
late_heavy,0,HBB,enc1,h1,hebbian_raw,0.6720486839681163,595.4907382374381,0.22932584411150647,1,1.0474936909806385,0.8615
late_heavy,0,HBB,enc1,h1,hebbian_effective,0.6719995161911867,582.8471887318609,0.22932584411150647,1,1.0474936909806385,0.8615
late_heavy,0,HHH,enc2,h2,hebbian_raw,0.04773473231357518,94.77804475865626,0.5346821730167842,0.9696969696969697,1.14182996970583,0.9035
late_heavy,0,HHH,enc2,h2,hebbian_effective,0.04776892810810532,94.66405662911788,0.5346821730167842,0.9696969696969697,1.14182996970583,0.9035
late_heavy,0,HHB,enc2,h2,hebbian_raw,0.04773473231357518,94.77804475865626,0.5346821730167842,0.9696969696969697,1.14182996970583,0.9035
late_heavy,0,HHB,enc2,h2,hebbian_effective,0.04776892810810532,94.66405662911788,0.5346821730167842,0.9696969696969697,1.14182996970583,0.9035
late_heavy,0,HHH,enc3,z,hebbian_raw,-0.00030610126982003115,0.18746231187829399,0.4678924870096007,0.109375,1.0177273734027064,0.844
late_heavy,0,HHH,enc3,z,hebbian_effective,-0.0002455116702542963,0.18750753000695372,0.4678924870096007,0.109375,1.0177273734027064,0.844
late_heavy,0,BBB,enc1,h1,bp_raw,1,22.750471241627316,0.4870246948516891,1,1.1880550830426866,0.8755000000000001
late_heavy,0,BBB,enc2,h2,bp_raw,1,9.216420423007797,0.9444895377780256,1,5.454779087092628,0.9245000000000001
late_heavy,0,BBB,enc3,z,bp_raw,1,2.287816810629327,0.6413885847562949,0.234375,9.189013964840157,0.9025000000000001
late_heavy,0,HHB,enc3,z,bp_raw,1,3.3061701172222375,0.5754132292592005,0.171875,7.0843923730357545,0.8765000000000001
late_heavy,0,HBB,enc2,h2,bp_raw,1,3.9617611889278104,0.9325205856054425,1,4.61063819635596,0.9265000000000001
late_heavy,0,HBB,enc3,z,bp_raw,1,3.3344232266829006,0.6303163626241467,0.21875,8.101675487738477,0.899
late_heavy,1,HHH,enc1,h1,hebbian_raw,0.9544387315285364,394.3743945897833,0.9197205172443573,1,2.2441498301624736,0.8800000000000001
late_heavy,1,HHH,enc1,h1,hebbian_effective,0.9544834758459115,360.10275802194695,0.9197205172443573,1,2.2441498301624736,0.8800000000000001
late_heavy,1,HHB,enc1,h1,hebbian_raw,0.9544387315285364,394.3743945897833,0.9197205172443573,1,2.2441498301624736,0.8800000000000001
late_heavy,1,HHB,enc1,h1,hebbian_effective,0.9544834758459115,360.10275802194695,0.9197205172443573,1,2.2441498301624736,0.8800000000000001
late_heavy,1,HBB,enc1,h1,hebbian_raw,0.9544387315285364,394.3743945897833,0.9197205172443573,1,2.2441498301624736,0.8800000000000001
late_heavy,1,HBB,enc1,h1,hebbian_effective,0.9544834758459115,360.10275802194695,0.9197205172443573,1,2.2441498301624736,0.8800000000000001
late_heavy,1,HHH,enc2,h2,hebbian_raw,0.4559928590223813,295.83312155431645,0.7812171508694997,1,1.977227329992681,0.8809999999999999
late_heavy,1,HHH,enc2,h2,hebbian_effective,0.4558947430638024,292.26519647365393,0.7812171508694997,1,1.977227329992681,0.8809999999999999
late_heavy,1,HHB,enc2,h2,hebbian_raw,0.4559928590223813,295.83312155431645,0.7812171508694997,1,1.977227329992681,0.8809999999999999
late_heavy,1,HHB,enc2,h2,hebbian_effective,0.4558947430638024,292.26519647365393,0.7812171508694997,1,1.977227329992681,0.8809999999999999
late_heavy,1,HHH,enc3,z,hebbian_raw,0.000874805624524788,0.030380381370046828,0.4678924870096007,0.109375,1.0381020670513381,0.7285
late_heavy,1,HHH,enc3,z,hebbian_effective,0.0008078806863770422,0.030381029164707765,0.4678924870096007,0.109375,1.0381020670513381,0.7285
late_heavy,1,BBB,enc1,h1,bp_raw,1,54.8027169581808,0.8313577235016059,1,1.5166840748372805,0.8865000000000001
late_heavy,1,BBB,enc2,h2,bp_raw,1,33.651650774757655,0.9251611405322722,1,3.7029846074774357,0.9185000000000001
late_heavy,1,BBB,enc3,z,bp_raw,1,6.851442490314552,0.9384858959176837,0.953125,25.839348155969493,0.85
late_heavy,1,HHB,enc3,z,bp_raw,1,2.713752837986227,0.8891793480675255,0.859375,16.44488118776269,0.8560000000000001
late_heavy,1,HBB,enc2,h2,bp_raw,1,2.008850164228667,0.956886226824733,1,5.857248286195759,0.8949999999999999
late_heavy,1,HBB,enc3,z,bp_raw,1,2.583576441447666,0.9293873013527989,0.9375,21.83785962297842,0.8515
late_heavy,2,HHH,enc1,h1,hebbian_raw,0.9584548287360867,753.3191862933409,0.6781110158615027,1,1.4266983896100744,0.8809999999999999
late_heavy,2,HHH,enc1,h1,hebbian_effective,0.9584025056740155,715.4484730978678,0.6781110158615027,1,1.4266983896100744,0.8809999999999999
late_heavy,2,HHB,enc1,h1,hebbian_raw,0.9584548287360867,753.3191862933409,0.6781110158615027,1,1.4266983896100744,0.8809999999999999
