sweep,case,seed,method_id,method,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,system_training_samples_seen,system_training_wall_time_sec,standardized_decoder_samples_seen,standardized_decoder_wall_time_sec,total_training_samples_seen,total_training_wall_time_sec
dimension,L16,0,full_hebbian,HHH,0.7034,0.6928837526601687,0.9193745851516724,0.03568766436674157,0.03603280904341717,2000000,466.0971442000009,500000,165.47416099999828,2500000,631.5713051999992
dimension,L16,0,hybrid_hhb,HHB,0.9053,0.9041267585190356,0.31611430644989014,0.013905493487144004,0.01371484497031387,1500000,372.62098419999893,500000,214.02388820000124,2000000,586.6448724000002
dimension,L16,0,hybrid_hbb,HBB,0.9287,0.9279522254682112,0.24454699456691742,0.011615426073268969,0.011586350301820404,1000000,271.27806840000267,500000,182.2283454999997,1500000,453.50641390000237
dimension,L16,1,full_bp,BBB,0.7268,0.7216515247987483,0.8395878672599792,0.03885021538637122,0.03830498273032052,500000,180.26773900000262,500000,152.08014399999956,1000000,332.3478830000022
dimension,L16,1,full_hebbian,HHH,0.759,0.7555300330311542,0.7522739171981812,0.031170365314094388,0.031453959589588396,2000000,461.2419762000027,500000,218.1768551999994,2500000,679.4188314000021
dimension,L16,1,hybrid_hhb,HHB,0.1135,0.0203861697350696,2.3021721839904785,0.08558527389837771,0.09640136044560646,1500000,437.25934580000103,500000,175.515647799999,2000000,612.7749936
dimension,L16,1,hybrid_hbb,HBB,0.635,0.6126227846868918,1.0643001794815063,0.04480190726299675,0.044468923265106826,1000000,311.69241740000143,500000,176.91210019999926,1500000,488.6045176000007
dimension,L16,2,full_bp,BBB,0.9322,0.9313355472919547,0.24315011501312256,0.009968011408436055,0.009973577620058644,500000,223.60467860000063,500000,201.5394185999976,1000000,425.1440971999982
dimension,L16,2,full_hebbian,HHH,0.6304,0.622680586658588,1.1333388090133667,0.04103599437012964,0.0406784031342487,2000000,411.47120919999725,500000,155.6789491999989,2500000,567.1501583999961
dimension,L16,2,hybrid_hhb,HHB,0.8988,0.8974785685226576,0.3333245515823364,0.013104463521801696,0.012762338453409624,1500000,547.0577417999957,500000,324.384681800002,2000000,871.4424235999977
